,COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,Test/Interview #
0,International Business,AC120,209,,,,209,,280,
1,Liberal Arts,AC137,252,,,,252,,270,
2,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,,,#+matric,,#+matric,#
3,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,,,#+matric,,#+matric,#
4,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,,,#+matric,,#+matric,#
5,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,,,#+matric,,#+matric,#
6,Fine Art (portfolio),AD204,#+matric,,,,#+matric,,#+matric,#
7,Fashion Design (portfolio),AD211,#+matric,,,,#+matric,,#+matric,#
8,Product Design (portfolio),AD212,#+matric,,,,#+matric,,#+matric,#
9,Visual Culture,AD215,377,,320,,320,,389,
10,Illustration (portfolio),AD217,#+matric,,,,#+matric,,#+matric,#
11,Interaction Design (portfolio),AD222,#+matric,,,,#+matric,,#+matric,#
12,Software Design,AL600,AQA,,,,104,,279,
13,Computer Engineering,AL601,AQA,,219,,112,,192,
14,Mechanical Engineering,AL602,AQA,,,,260,,424,
15,Civil Engineering,AL604,AQA,,AQA,,AQA,,244,
16,Music and Instrument Technology,AL605,AQA,,AQA,,154,,306,
17,Pharmacy Technician,AL630,295,,,,295,,379,
18,Dental Nursing,AL631,300,,298,,298,,388,
19,Applied Science,AL632,234,,,,234,,434,
20,Business,AL650,207,,,,207,,326,
21,Culinary Arts,AL660,AQA,,AQA,,112,,270,
22,Bar Supervision,AL661,AQA,,AQA,,101,,241,
23,Business (Sport and Recreation),AL663,AQA,,AQA,,120,,262,
24,Computer Engineering with Network Infrastructure,AL701,216,,,,216,,337,
25,Software Design with Artificial Intelligence for Cloud Computing,AL702,214,,,,214,,338,
26,Software Design with Virtual Reality and Gaming,AL703,216,,,,224,,337,
27,Computer Engineering,AL704,204,,,,204,,403,
28,Software Design with Mobile Apps and Connected Devices,AL705,216,,,,216,,337,
29,Mechanical Engineering,AL710,223,,,,223,,337,
30,Mechanical Engineering and Renewable Energy,AL711,228,,,,228,,369,
31,Automation and Robotics,AL712,252,,,,252,,379,
32,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,218,,,,218,,402,
33,Music and Sound Engineering,AL718,214,,,,216,,339,
34,Civil Engineering,AL721,233,,,,233,,357,
35,Biotechnology,AL730,250,,,,250,,402,
36,Veterinary Nursing,AL731,400,,,,400,,456,
37,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,,,244,,359,
38,Exercise and Health Science,AL740,250,,,,250,,367,
39,Digital Marketing,AL751,241,,,,241,,318,
40,Business,AL752,225,,,,225,,397,
41,Hotel and Leisure Management,AL761,208,,,,208,,309,
42,Graphic Design (portfolio),AL763,781,,,,781,,858,#
43,Early Years Care and Education,AL764,260,,,,260,,398,
44,Applied Social Studies in Social Care,AL765,280,,,,280,,358,
45,Software Design with Virtual Reality and Gaming,AL801,303,,,,303,,367,
46,Software Design with Artificial Intelligence for Cloud Computing,AL802,332,,,,332,,382,
47,Software Design with Mobile Apps and Connected Devices,AL803,337,,,,337,,360,
48,Computer Engineering with Network Infrastructure,AL805,333,,,,333,,360,
49,Quantity Surveying,AL810,319,,,,326,,352,
50,Civil Engineering,AL811,320,,,,320,,432,
51,Mechanical and Polymer Engineering,AL820,308,,,,308,,379,
52,General Nursing,AL830,442,,,,442,,463,
53,Psychiatric Nursing,AL832,387,*,384,,384,,399,
54,Nutrition and Health Science,AL836,334,,,,334,,379,
55,Sports Science with Exercise Physiology,AL837,351,,,,351,,384,
56,Biotechnology,AL838,307,,,,307,,356,
57,Microbiology,AL839,325,,,,325,,393,
58,Pharmaceutical Sciences,AL840,347,,,,347,,403,
59,Athletic and Rehabilitation Therapy,AL841,430,,,,430,,465,
60,Bioveterinary Science,AL842,313,,,,313,,383,
61,Physical Activity and Health Science,AL843,306,,,,306,,326,
62,Business,AL850,309,,,,309,,377,
63,Business and Law,AL851,295,,,,295,,351,
64,Accounting,AL852,309,,,,309,,422,
65,Sport Management (with international placement),AL854,302,,299,,299,,338,
66,Hospitality Management (with international placement),AL855,308,,,,308,,347,
67,Digital Marketing,AL857,304,,,,304,,332,
68,Social Care Practice,AL860,300,,,,300,,348,
69,Animation and Illustration (portfolio),AL861,578,,,,578,,878,#
70,Graphic and Digital Design (portfolio),AL863,781,,,,781,,824,#
71,Early Years Care and Education,AL864,307,,,,307,,346,
72,Applied Psychology,AL870,418,,,,418,,444,
73,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,,,,518,,544,
74,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,*,434,*,434,*,466,
75,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,*,440,,440,,484,
76,"Nutrition, Food and Business Management",AS051,328,,317,,317,,398,
77,Home Economics,AS054,408,,398,,398,,429,
78,General Nursing,AS110,419,*,,,419,*,431,
79,Intellectual Disability Nursing,AS130,336,*,328,,317,,339,
80,Counselling Skills and Psychotherapy Studies,CI001,300,,,,300,,440,
81,Counselling Skills and Addiction Studies,CI002,309,,,,309,,367,
82,Counselling Skills and Youth Studies,CI005,306,,302,,302,,451,
83,Counselling and Psychotherapy,CI110,310,,,,310,,392,
84,Counselling and Addiction Studies,CI111,301,,,,301,,319,
85,Counselling and Youth Studies,CI112,311,,,,311,,311,
86,Arts - 3 years,CK101,300,,,,300,,388,
87,Social Science,CK102,412,,,,412,,451,
88,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,,,302,,435,#
89,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,,337,,319,,418,
90,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,,,328,,388,
91,Arts International - 4 years,CK108,401,,,,401,,466,
92,English - 3 years or 4 years (International Pathway),CK109,318,,,,318,,441,
93,World Languages,CK110,452,,433,,410,,506,
94,Early Years and Childhood Studies,CK111,419,,,,419,,451,
95,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,,,,330,,434,#
96,Criminology - 3 years or 4 years (International Pathway),CK113,423,,,,423,,463,
97,Social Science (Youth and Community Work) - 3 years,CK114,,,,,777,,,#
98,Social Work - Mature Applicants only,CK115,,,,,999,,,
99,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,,,336,,378,
100,Applied Psychology,CK120,533,*,532,*,531,*,555,
101,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,,,466,,496,
102,Government and Political Science,CK122,337,,328,,326,,403,
103,Anthropology,CK123,308,,,,308,,410,
104,Education - Gaeilge,CK124,463,,462,,452,*,495,
105,Sports Studies and Physical Education,CK125,510,*,509,*,509,*,532,
106,Commerce,CK201,477,*,,,477,*,509,
107,Accounting,CK202,509,,,,509,,542,
108,Business Information Systems,CK203,430,,,,430,,467,
109,Finance,CK204,556,,,,556,,590,
110,Commerce (International) with French,CK205,445,,,,445,,495,
111,Commerce (International) with German,CK206,420,,418,,418,,476,
112,Commerce (International) with Italian,CK207,388,,,,388,,455,
113,Commerce (International) with Hispanic Studies,CK208,402,,,,402,,484,
114,Commerce (International) with Irish,CK209,484,,,,484,,531,
115,Commerce (International) with Chinese Studies,CK211,397,,,,397,,433,
116,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,,,,444,,473,
117,Food Marketing and Entrepreneurship,CK213,462,,,,462,,476,
118,International Development,CK214,346,,,,346,,422,
119,Law (Pathways) -  3 or 4 years,CK301,507,,499,,498,*,531,
120,Law and French,CK302,542,,,,542,,576,
121,Law and Irish,CK304,540,,,,540,,565,
122,Law and Business,CK307,556,,,,556,,589,
123,Computer Science,CK401,468,,,,468,,509,
124,Biological and Chemical Sciences,CK402,510,*,509,*,509,,532,
125,"Biological, Earth and Environmental Sciences",CK404,467,,,,465,,498,
126,Genetics,CK405,487,,,,487,,498,
127,Chemical Sciences,CK406,485,,472,,462,,494,
128,Mathematical Sciences,CK407,566,,565,*,565,,601,
129,Physics and Astrophysics,CK408,554,,542,,531,*,589,
130,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,,,432,,499,
131,Data Science and Analytics,CK411,510,,,,509,,554,
132,Agricultural Science,CK412,496,*,496,*,489,*,510,
133,Nutritional Sciences,CK504,518,,,,517,*,554,
134,Food Science,CK505,441,,440,*,420,,465,
135,Engineering,CK600,487,,,,487,,532,
136,Architecture - Offered jointly by UCC and CIT,CK606,484,,476,,469,,510,
137,Medicine (Undergraduate Entry - HPAT required),CK701,731,,,,731,,739,#
138,Dentistry,CK702,613,*,613,*,613,*,613,
139,Pharmacy,CK703,590,,589,*,589,*,602,
140,Occupational Therapy,CK704,566,,555,*,555,*,577,
141,Speech and Language Therapy,CK705,520,,,,520,,541,
142,Public Health Sciences,CK706,454,,,,454,,477,
143,Medical and Health Sciences,CK707,542,,541,,541,,555,
144,General Nursing,CK710,454,*,,,454,*,477,
145,Children`s and General Nursing (Integrated),CK712,533,,,,533,,553,
146,Mental Health Nursing,CK720,423,,,,419,,440,
147,Intellectual Disability Nursing,CK730,419,,411,,400,,433,
